dataset,view,family,q,d2,d2_ceiling,e_original,n,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,alignment,knn_acc,cluster_ari,oneclass_auc,krr_r2,qsvm_f1,last_alive,twonn,twonn_ceiling,pca95
moons,random,fidelity,5,0.7203213491478936,2,20,32,0.032879218902425116,0.05291184560998013,0.09345974749973221,0.036943871174925806,2.5297767810311207,False,0.3559104801706651,0.5,-0.01879595063821463,0.4166666666666667,0.08527537235853111,0.0,False,12.639195022327543,13,19
moons,random,rbf,5,0.7203213491478936,2,20,32,0.9946757276826717,0.003454174183959835,0.9992326206014901,0.9843903248611591,1.0150776530056047,False,0.7194912112548865,0.5,-0.028359568101990373,0.6666666666666666,0.1491862838982254,0.0,False,12.639195022327543,13,19
moons,random,fidelity,6,0.7203213491478936,2,20,32,0.0172846880590092,0.029075299333617056,0.030346074831689197,0.0064272376011879325,4.721480162189803,False,0.3065853318150581,0.4,0.0,0.3333333333333333,-0.12216044878001808,0.0,False,12.639195022327543,13,19
moons,random,rbf,6,0.7203213491478936,2,20,32,0.8037822989253975,0.1965578406015818,0.9974205098397185,0.2536887127120027,3.931670822785202,True,0.7382488257910876,0.7,0.11300417811448359,0.3333333333333333,0.9774798977812602,0.0,False,12.639195022327543,13,19
moons,random,fidelity,7,0.7203213491478936,2,20,32,0.008479063771530763,0.014614503440364817,0.022575873739180873,0.013563190260477823,1.6644958380452255,False,0.27892393797124615,0.6,0.0,0.7916666666666667,-0.07357701186997034,0.0,False,12.639195022327543,13,19
moons,random,rbf,7,0.7203213491478936,2,20,32,0.768558636752767,0.17862597059441282,0.9933614153968156,0.30177496534981507,3.2917290347306283,True,0.7587554139930931,0.8,0.1653768615464655,0.7916666666666667,0.998197592848038,0.8,False,12.639195022327543,13,19
moons,random,fidelity,8,0.7203213491478936,2,20,32,0.004345288383497241,0.010646209818612121,0.01084066963490194,0.004741154710856163,2.2865040894108093,False,0.26227412160244223,0.7,0.0,0.75,0.021677447367652647,0.0,False,12.639195022327543,13,19
moons,random,rbf,8,0.7203213491478936,2,20,32,0.7910637700428742,0.1643196344972084,0.9935631878635531,0.35017618103025655,2.8373237292735953,True,0.7564667385548456,0.8,0.1653768615464655,0.7916666666666667,0.9982445660796119,0.8,True,12.639195022327543,13,19
moons,prefix,fidelity,2,0.7203213491478936,2,20,32,0.27185605955840125,0.24042407376132788,0.7817000854710658,0.3392747901545561,2.304032330592449,True,0.6982119765899919,1.0,0.22579386371396518,1.0,-1.0182127020383076,1.0,False,12.639195022327543,13,19
moons,prefix,rbf,2,0.7203213491478936,2,20,32,0.4901074703518603,0.29594060083094514,0.9868750864211545,0.0159369649597154,61.923652898511364,True,0.7475981326187042,0.8,0.2258945554453675,0.9583333333333334,0.9990462701119892,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,3,0.7203213491478936,2,20,32,0.129224446686064,0.1480750122378978,0.2672865859527434,0.07259078345481056,3.6821008567724784,True,0.5084575243796676,0.6,-0.01680685941135317,0.25,-0.5128358317832398,0.3333333333333333,True,12.639195022327543,13,19
moons,prefix,rbf,3,0.7203213491478936,2,20,32,0.5892036656450491,0.2663869334895554,0.9896129038026062,0.062361772356111664,15.868902797558492,True,0.7608899077833045,0.8,0.1653768615464655,0.9166666666666667,0.9988392329641681,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,4,0.7203213491478936,2,20,32,0.06338170433193822,0.0833482315619488,0.10431394602137216,0.07031677511920034,1.4834859227338018,False,0.4211991463295591,0.4,-0.016409972839787273,0.24999999999999997,-0.47148003504020863,0.0,False,12.639195022327543,13,19
moons,prefix,rbf,4,0.7203213491478936,2,20,32,0.656419129077876,0.23899332280472227,0.991447554108494,0.12413191819915229,7.987047719006929,True,0.7636970993325756,0.8,0.1653768615464655,0.8333333333333334,0.9984933598655438,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,5,0.7203213491478936,2,20,32,0.03043164276079348,0.04323498947288764,0.03704555524302185,0.036746947127492054,1.0081260659421254,False,0.3409713455725273,0.3,-0.01614555387542071,0.29166666666666663,0.01277042931781347,0.0,False,12.639195022327543,13,19
moons,prefix,rbf,5,0.7203213491478936,2,20,32,0.7043401603905011,0.21535164644567245,0.9922721181680412,0.18789687901721244,5.280939861045501,True,0.76297917307527,0.8,0.1653768615464655,0.7916666666666667,0.9979068741627758,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,6,0.7203213491478936,2,20,32,0.014622158974200784,0.02335581322190206,0.013315324623417557,0.01754132445144731,0.7590831958141523,False,0.29807176471464436,0.3,0.0,0.16666666666666669,-0.1367183936903087,0.0,False,12.639195022327543,13,19
moons,prefix,rbf,6,0.7203213491478936,2,20,32,0.7403060431072184,0.19545946915570844,0.9927776402751448,0.2477732050105156,4.006799848405766,True,0.7610711100573507,0.8,0.1653768615464655,0.7916666666666667,0.9980638407742629,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,7,0.7203213491478936,2,20,32,0.007685192249362026,0.015394366597664874,0.012090165040809762,0.00465169541851723,2.5990878492778897,False,0.2758158653076584,0.5,0.0,0.33333333333333337,-0.11443761711678158,0.0,False,12.639195022327543,13,19
moons,prefix,rbf,7,0.7203213491478936,2,20,32,0.7683956793589188,0.17856921691139363,0.9926777634197814,0.3019876646161729,3.28714672727271,True,0.7587687844629983,0.8,0.1653768615464655,0.7916666666666667,0.9980955321726831,0.8,False,12.639195022327543,13,19
moons,prefix,fidelity,8,0.7203213491478936,2,20,32,0.004094032402439022,0.009536261575727073,0.005436641188402224,0.0036783493925538766,1.4780110881820192,False,0.26086723975583387,0.6,0.0,0.33333333333333337,-0.04307148151982898,0.0,False,12.639195022327543,13,19
moons,prefix,rbf,8,0.7203213491478936,2,20,32,0.7910574365007886,0.16430470209052414,0.9930221871852101,0.3502860227920979,2.8348895547413533,True,0.7564890544103459,0.8,0.1653768615464655,0.7916666666666667,0.998198134017548,0.8,True,12.639195022327543,13,19
iris,pca,fidelity,2,1.915375598905324,2,4,32,0.27170832660417304,0.24535042834095924,0.8321564456105369,0.2490217342402797,3.3417020733121783,True,0.5514147437924766,0.5,0.025404157043879907,0.8333333333333334,0.626935529390203,0.6984126984126983,False,1.57896732869076,2,2
iris,pca,rbf,2,1.915375598905324,2,4,32,0.3228164879490821,0.3633527763748631,0.9858051752497203,1.8434281276612841e-07,5347673.50273856,True,0.8402038429381626,1.0,0.5763927192498621,1.0,0.9988059240948496,1.0,False,1.57896732869076,2,2
iris,pca,fidelity,3,1.915375598905324,2,4,32,0.1450993248706144,0.15023309002065818,0.3846531127723667,0.1757480590988021,2.1886620810766524,True,0.4721368000300657,0.4,-0.03986892408519935,0.75,-3.2369425604794912,0.3119047619047619,True,1.57896732869076,2,2
iris,pca,rbf,3,1.915375598905324,2,4,32,0.35758828094455486,0.3654112156341891,0.9758115907639897,2.506651243567927e-05,38928.89340980021,True,0.8351065914173211,1.0,0.5763927192498621,1.0,0.9978468230150193,1.0,False,1.57896732869076,2,2
iris,pca,fidelity,4,1.915375598905324,2,4,32,0.06477892785765801,0.0948454896707173,0.16734941162311168,0.052339544705757544,3.1973799650707053,False,0.4365807804798122,0.3,0.05666857469948483,0.5833333333333334,0.05740977820371718,0.49999999999999994,False,1.57896732869076,2,2
iris,pca,rbf,4,1.915375598905324,2,4,32,0.394934471455321,0.36861098521313296,0.9769395292759805,0.00032246841238405834,3029.5665924402238,True,0.8297481049001327,1.0,0.5763927192498621,0.9583333333333334,0.996982374698747,1.0,True,1.57896732869076,2,2
iris,random,fidelity,2,1.915375598905324,2,4,32,0.4353232899934948,0.2765224502358002,0.9086779022299485,0.4964620081346431,1.8303070272066222,False,0.6381939119033505,0.9,0.03320631464344039,1.0,0.6445706760744375,0.8857142857142858,False,1.57896732869076,2,2
iris,random,rbf,2,1.915375598905324,2,4,32,0.3793510730595421,0.3998924765379101,0.9935249293278178,1.2229637828151588e-06,812391.1298835095,True,0.8592560341056652,1.0,0.7367205542725174,1.0,0.9949971520540478,1.0,False,1.57896732869076,2,2
iris,random,fidelity,3,1.915375598905324,2,4,32,0.18742438383659518,0.2084212140611938,0.6631383690446754,0.15361630071276003,4.316848966989818,True,0.6281550362910066,0.9,0.31074095347501435,0.9583333333333334,0.9498091082600586,0.9047619047619048,False,1.57896732869076,2,2
iris,random,rbf,3,1.915375598905324,2,4,32,0.39502802662247727,0.3839758449357906,0.9851253700394734,0.00010579471909117765,9311.66865890969,True,0.8476145914617853,1.0,0.6179775280898876,1.0,0.9959647203421117,1.0,False,1.57896732869076,2,2
iris,random,fidelity,4,1.915375598905324,2,4,32,0.09066132638688783,0.13723540611121865,0.42458547165340726,0.03692490200979463,11.49862148695161,True,0.5511825503296672,0.9,0.04387990762124711,1.0,0.7218437048767338,0.8055555555555555,True,1.57896732869076,2,2
iris,random,rbf,4,1.915375598905324,2,4,32,0.39493447145532096,0.368610985213133,0.9769395292759807,0.00032246841238405785,3029.566592440229,True,0.8297481049001326,1.0,0.5763927192498621,0.9583333333333334,0.9969823746987476,1.0,True,1.57896732869076,2,2
iris,prefix,fidelity,2,1.915375598905324,2,4,32,0.27405277245640003,0.2552702915061069,0.7140772382243925,0.25188512283989867,2.834932171354435,True,0.4972517382998564,0.5,0.06487434248977206,0.6666666666666666,-0.7307317582564397,0.4166666666666667,False,1.57896732869076,2,2
iris,prefix,rbf,2,1.915375598905324,2,4,32,0.5675426054717494,0.28296448153958237,0.98465634829175,0.03190015998833735,30.86681535928782,True,0.6917415718525375,0.6,0.4332552693208431,0.7916666666666667,0.8895485067961253,0.8055555555555555,False,1.57896732869076,2,2
iris,prefix,fidelity,3,1.915375598905324,2,4,32,0.16148417417920655,0.19270832497636087,0.4939140339768208,0.13254363977890252,3.7264257628711883,True,0.5061426752850784,0.8,0.027574563871693866,0.6666666666666667,0.3405133550773779,0.8023809523809523,False,1.57896732869076,2,2
iris,prefix,rbf,3,1.915375598905324,2,4,32,0.37832208990229216,0.36889574893728544,0.9745667056620902,0.00011367493287719942,8573.277159660993,True,0.8236718641287334,1.0,0.5618938961779806,0.9583333333333334,0.995575088073698,1.0,False,1.57896732869076,2,2
iris,prefix,fidelity,4,1.915375598905324,2,4,32,0.09066132638688783,0.13723540611121865,0.42458547165340715,0.03692490200979463,11.498621486951608,True,0.5511825503296672,0.9,0.04387990762124711,1.0,0.7218437048767338,0.8055555555555555,True,1.57896732869076,2,2
iris,prefix,rbf,4,1.915375598905324,2,4,32,0.39493447145532085,0.3686109852131328,0.9769395292759804,0.0003224684123840591,3029.5665924402165,True,0.8297481049001331,1.0,0.5763927192498621,0.9583333333333334,0.996982374698747,1.0,True,1.57896732869076,2,2
