dataset,bandwidth,q,d2,d2_ceiling,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,n
moons,1.0,7,0.7203213491478936,2,0.008744134500497451,0.01773498178881919,0.014264772251221063,0.004333052898676605,3.292083568972304,False,32
moons,1.0,8,0.7203213491478936,2,0.0040625556825890086,0.010000444716174029,0.006609679294876802,0.002558828338904158,2.583088202668358,False,32
moons,2.0,2,0.7203213491478936,2,0.2412517028078243,0.21895911563053108,0.5632623289516476,0.2692070668654006,2.092301422507865,True,32
moons,2.0,3,0.7203213491478936,2,0.12580584011868767,0.13567312631239511,0.17791259231694861,0.16207977120322198,1.0976853619436249,False,32
moons,2.0,4,0.7203213491478936,2,0.060237487806587414,0.06906929391939048,0.10294119384115057,0.08567250374664519,1.2015663058660357,False,32
moons,2.0,5,0.7203213491478936,2,0.031144179577510023,0.04546466813109241,0.05916632906066881,0.03679168686924784,1.608143961187132,False,32
moons,2.0,6,0.7203213491478936,2,0.01671329954669731,0.028089327351319207,0.018191894707056646,0.007857062943669535,2.315355602657342,False,32
moons,2.0,7,0.7203213491478936,2,0.008598848270099654,0.01767786454433441,0.012872505752363709,0.008732166351637108,1.474148021693422,False,32
moons,2.0,8,0.7203213491478936,2,0.004090688959154724,0.0075770256865167725,0.0060480988839349045,0.004389552509211245,1.3778395112584454,False,32
pendigits,0.25,2,5.351224674332798,6,0.3933230133220333,0.3072926841209302,0.9841506859760905,0.3035580092988723,3.242051455829423,True,32
pendigits,0.25,3,5.351224674332798,6,0.20452522484694954,0.2505923166865598,0.9195657840110517,0.15559057024171316,5.910163980905059,True,32
pendigits,0.25,4,5.351224674332798,6,0.1237848404068518,0.22509369125573583,0.8801654356304411,0.05925520911746397,14.853806926672961,True,32
pendigits,0.25,5,5.351224674332798,6,0.09914104715525808,0.2037385121856665,0.8350151467706366,0.04327236377789717,19.29673061209448,True,32
pendigits,0.25,6,5.351224674332798,6,0.06527559098638666,0.16044656919008063,0.7044992016065776,0.030493902740258032,23.1029529938291,True,32
pendigits,0.25,7,5.351224674332798,6,0.04581262488118219,0.13656059055609293,0.6144437944568385,0.019822754299685157,30.996893023417925,True,32
