dataset,encoding,reps,q,n_features,d2,d2_ceiling,pca95,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,note,n
moons,zz,2,5,5,0.7203213491478936,2,19,0.03975336104931283,0.05123387486251576,0.07039041359346636,0.0486236192708094,1.4476588672148556,False,"ZZ, two layers",32
moons,zz,2,6,6,0.7203213491478936,2,19,0.020988547530712706,0.03095487716121889,0.03304366611200253,0.01997161482535642,1.654531513898893,False,"ZZ, two layers",32
moons,zz,2,7,7,0.7203213491478936,2,19,0.010244211543032644,0.017209002514828094,0.01860160348486257,0.010100499797129497,1.841651785404623,False,"ZZ, two layers",32
moons,zz,2,8,8,0.7203213491478936,2,19,0.004978146221307045,0.008042335725058454,0.0070806091509482885,0.005562565466563802,1.2729035179018284,False,"ZZ, two layers",32
moons,z,1,2,2,0.7203213491478936,2,19,0.2406124557627393,0.27514328136710586,0.9141842890688624,0.33593647141549127,2.7213010996301903,True,Z (product states),32
moons,z,1,3,3,0.7203213491478936,2,19,0.1325697623031356,0.1988080664273952,0.5489234565746275,0.17198879564301,3.191623352686329,True,Z (product states),32
moons,z,1,4,4,0.7203213491478936,2,19,0.08693635270893324,0.14945190288824836,0.3932868971690303,0.12745305306658922,3.0857393189596904,True,Z (product states),32
moons,z,1,5,5,0.7203213491478936,2,19,0.04708977272936624,0.10968139803802004,0.24918628670652138,0.06371772739971782,3.910784280539562,False,Z (product states),32
moons,z,1,6,6,0.7203213491478936,2,19,0.023762554584638825,0.07419973009456952,0.1289076559500863,0.03487854208730925,3.6959014980442677,False,Z (product states),32
moons,z,1,7,7,0.7203213491478936,2,19,0.012599087781075794,0.05005418398727978,0.060495669251439524,0.02008117888443297,3.0125556671543854,False,Z (product states),32
moons,z,1,8,8,0.7203213491478936,2,19,0.006089158127440336,0.02598508859654883,0.015750249139141786,0.00909505642331203,1.731737375347279,False,Z (product states),32
moons,iqp,1,2,2,0.7203213491478936,2,19,0.3530594557737984,0.25749207265896135,0.8897271588937172,0.10748129045799097,8.277972427596287,True,"IQP, linear CP",32
moons,iqp,1,3,3,0.7203213491478936,2,19,0.21330595215419454,0.18745389848324176,0.5104150269502845,0.042693163800481576,11.955427555934074,True,"IQP, linear CP",32
moons,iqp,1,4,4,0.7203213491478936,2,19,0.1361928096276648,0.13508860650228668,0.3269765926580819,0.02197110979236052,14.882115457443733,True,"IQP, linear CP",32
moons,iqp,1,5,5,0.7203213491478936,2,19,0.07153341492436531,0.08693041919331587,0.20963827052872022,0.009014425925109358,23.25586479609094,False,"IQP, linear CP",32
moons,iqp,1,6,6,0.7203213491478936,2,19,0.03818162607006899,0.04995704754019017,0.09817082963468189,0.005604900287100246,17.515178612654964,False,"IQP, linear CP",32
moons,iqp,1,7,7,0.7203213491478936,2,19,0.022824065780409585,0.03172950113699226,0.0544902893735116,0.0038904025116361825,14.00633718761267,False,"IQP, linear CP",32
moons,iqp,1,8,8,0.7203213491478936,2,19,0.012977098725813102,0.019123306980843014,0.02831599396213007,0.0018508703780647155,15.298745010840518,False,"IQP, linear CP",32
iris,zz,1,2,2,1.915375598905324,2,2,0.27170832660417304,0.24535042834095924,0.8321564456105369,0.2490217342402797,3.3417020733121783,True,"ZZ, one layer",32
iris,zz,1,3,3,1.915375598905324,2,2,0.1450993248706144,0.15023309002065818,0.3846531127723667,0.1757480590988021,2.1886620810766524,True,"ZZ, one layer",32
iris,zz,1,4,4,1.915375598905324,2,2,0.06477892785765801,0.0948454896707173,0.16734941162311168,0.052339544705757544,3.1973799650707053,False,"ZZ, one layer",32
iris,zz,2,2,2,1.915375598905324,2,2,0.29465003789790667,0.22723639730755454,0.7807124341752103,0.22701591707412733,3.4390206829430596,True,"ZZ, two layers",32
